"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0x8d60d6cf407e1cbb77e190d05f8a68c694178ca7a6629c2aab121044284153f1","3970905","1499137483","7/4/2017 3:04:43 AM","0x0000000000000000000000000000000000000000","0x0ec49d75a8c2fc25c060b840d776b95ae1540245","4786.8"
"0xb4fca546237ffa1088ed07c944934cfe147e99d08327b2d1375edd7793bfcee8","3970891","1499137322","7/4/2017 3:02:02 AM","0x0000000000000000000000000000000000000000","0x9c4ce634307592bca4d74828fed0d8d58043e53e","480.0089449236"
"0xfe42d2d5f5a48db5dc70f0fd2f9a751a5a5faa590f6ffda95aba74f3eab9291a","3970882","1499137228","7/4/2017 3:00:28 AM","0x0000000000000000000000000000000000000000","0xaf0d91ccb7034b3a393502db08ce9a5b6b20e0fe","5265.48"
"0x65ee517a3d70ce7693deeef815b57ccee6885623a0451ea3e74b24d404938cf7","3970875","1499137095","7/4/2017 2:58:15 AM","0x0000000000000000000000000000000000000000","0xc43faefc34100e47bb28ec8b239e46a6d5cf2b66","861.624"
"0x894487be2ba7e88e972b16731a7e10b7ab75b37d766de6f87b9ab6cbf542ba8e","3970872","1499137051","7/4/2017 2:57:31 AM","0x0000000000000000000000000000000000000000","0x21e44191bf140a5c44b40771ae1ee3f6b6dd09be","125.5694390052"
"0x3f958b24b55c10fe0af9743ccc7857bcfc3a6842a4830501096110cfd11fab6a","3970870","1499137001","7/4/2017 2:56:41 AM","0x0000000000000000000000000000000000000000","0x6fb5dce7b2d694ad1585c256ef06c08ab376e99e","111.676044"
"0x77e8a0fe6d0f65022cbca9ec2b479c44c1b90cee936a87ab690e432f4e600a51","3970856","1499136753","7/4/2017 2:52:33 AM","0x0000000000000000000000000000000000000000","0x9008c8831e28a9a56a8f81192018f6a29393289d","5581.4088"
"0xc34ccc229a2621db908fa880302096e2146fd9e00efef3130f700d60b9b468cb","3970853","1499136734","7/4/2017 2:52:14 AM","0x0000000000000000000000000000000000000000","0x7c297f42187357bfc3a1963b843b720a00e28703","22.9580480688"
"0x9bd78a52019071aaba139c1eb0e72c746470cded7de81340f68974016b3e0976","3970848","1499136677","7/4/2017 2:51:17 AM","0x0000000000000000000000000000000000000000","0xf0a0d082a713a3184d77687b43648c72859a5f0a","957.36"
"0xce56eb0f014acc5c9e7931277927bf1bbcb0092788fdd3612c7dc4ea15ad103d","3970848","1499136677","7/4/2017 2:51:17 AM","0x0000000000000000000000000000000000000000","0xc4c9ea110cb37a7059d81be6f38cfc8e2bb07024","861.624"
