borza,par,volume,price
Liqui,QTUM/BTC,"$130,650",$4323.55
Cryptopia,TER/BTC,"$130,611",$4513.44
Bittrex,CRW/BTC,"$130,335",$4278.38
Poloniex,EXP/BTC,"$130,031",$4258.18
Liqui,BCC/BTC,"$129,664",$4345.52
LocalTrade,BTC/ZAR,"$126,693",$4300.24
Bitstamp (Ripple Gateway),XRP/BTC,"$126,384",$3210.33
Cryptopia,ETH/BTC,"$124,147",$4322.01
Poloniex,XPM/BTC,"$124,044",$4522.46
Bittrex,NLG/BTC,"$123,425",$4236.04
Liqui,CFI/BTC,"$121,977",$4358.16
Livecoin,BTS/BTC,"$121,603",$4423.92
Bittrex,BURST/BTC,"$121,332",$4107.43
Cryptopia,EQT/BTC,"$116,702",$4180.93
OpenLedger DEX,BTS/BTC,"$116,340",$4138.97
Poloniex,FLDC/BTC,"$115,893",$4248.29
Bittrex,MUE/BTC,"$112,622",$4276.17
Bittrex,PPC/BTC,"$112,429",$4363.91
C-CEX,ECN/BTC,"$111,808",$4397.12
Waves Decentralized Exchange,WGR/BTC,"$111,061",$4414.86
Lykke Exchange,BTC/USD,"$110,075",$4434.85
Liqui,EOS/BTC,"$110,045",$4295.63
Bittrex,TRUST/BTC,"$110,033",$4276.16
BitMEX,BTC/USD," ** $337,695,000",$4257.20
Coincheck,BTC/JPY," ** $211,669,000",$4318.85
Zaif,BTC/JPY," ** $26,599,500",$4319.59
Quoine,BTC/JPY," ** $25,498,100",$4328.49
BtcTrade,BTC/CNY," ** $9,997,270",$4291.01
BTCBOX,BTC/JPY," ** $8,807,050",$4311.87
Quoine,BTC/SGD," ** $1,196,620",$4280.34
Quoine,BTC/USD," ** $1,162,050",$4280.71
Zaif,XEM/BTC," ** $890,302",$4174.07
Quoine,BTC/EUR," ** $413,991",$4279.99
Quoine,BTC/AUD," ** $107,789",$4286.74
Gatehub,XRP/BTC," *** $875,634", *** $3198.84
